詞彙,注音,英譯,量詞
姓名,ㄒㄧㄥˋ ㄇㄧㄥˊ,surname and given name / full name,
公園,ㄍㄨㄥ ㄩㄢˊ,park (for public recreation),個 / 座
國家,ㄍㄨㄛˊ ㄐㄧㄚ,country / nation / state,個
城市,ㄔㄥˊ ㄕˋ,city / town,座
街,ㄐㄧㄝ,street,條
電子郵件,ㄉㄧㄢˋ ㄗˇ ㄧㄡˊ ㄐㄧㄢˋ,email,封 / 份
結婚,ㄐㄧㄝˊ ㄏㄨㄣ,to marry / to get married,次
小時,ㄒㄧㄠˇ ㄕˊ,hour,個
點鐘,ㄉㄧㄢˇ ㄓㄨㄥ,(indicating time of day) o'clock,
分鐘,ㄈㄣ ㄓㄨㄥ,minute,
夏天,ㄒㄧㄚˋ ㄊㄧㄢ,summer,個
冬天,ㄉㄨㄥ ㄊㄧㄢ,winter,個
秋天,ㄑㄧㄡ ㄊㄧㄢ,autumn,個
春天,ㄔㄨㄣ ㄊㄧㄢ,spring (season),個
年輕,ㄋㄧㄢˊ ㄑㄧㄥ,young,
老,ㄌㄠˇ,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity / old (of people) / venerable (person) / experienced / of long standing / always / all the time / of the past / very / outdated / (of meat etc) tough,
男生,ㄋㄢˊ ㄕㄥ,schoolboy / male student / boy / guy (young adult male),
女生,ㄋㄩˇ ㄕㄥ,schoolgirl / female student / girl,
小孩,ㄒㄧㄠˇ ㄏㄞˊ,child,個
家人,ㄐㄧㄚ ㄖㄣˊ,household / (one's) family,
緊張,ㄐㄧㄣˇ ㄓㄤ,nervous / keyed up / intense / tense / strained / in short supply / scarce,陣
可愛,ㄎㄜˇ ㄞˋ,adorable / cute / lovely,
胖,ㄆㄤˋ,fat / plump,
矮,ㄞˇ,low / short (in length),
瘦,ㄕㄡˋ,thin / to lose weight / (of clothing) tight / (of meat) lean / (of land) unproductive,
千,ㄑㄧㄢ,thousand,
萬,ㄨㄢˋ,ten thousand / a great number,
在,ㄗㄞˋ,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),
辦公室,ㄅㄢˋ ㄍㄨㄥ ㄕˋ,office / business premises / bureau,間
工廠,ㄍㄨㄥ ㄔㄤˇ,factory,家 / 座
工人,ㄍㄨㄥ ㄖㄣˊ,worker,個 / 名
護士,ㄏㄨˋ ㄕˋ,nurse,個
司機,ㄙ ㄐㄧ,chauffeur / driver,個
老闆,ㄌㄠˇ ㄅㄢˇ,boss / business proprietor,個
老板,ㄌㄠˇ ㄅㄢˇ,variant of 老闆板[lao3 ban3],
同事,ㄊㄨㄥˊ ㄕˋ,colleague / co-worker,個 / 位
上班,ㄕㄤˋ ㄅㄢ,to go to work / to be on duty / to start work / to go to the office,
小學,ㄒㄧㄠˇ ㄒㄩㄝˊ,elementary school / primary school,個
上學,ㄕㄤˋ ㄒㄩㄝˊ,to go to school / to attend school,
作業,ㄗㄨㄛˋ ㄧㄝˋ,school assignment / homework / work / task / operation / to operate,個
功課,ㄍㄨㄥ ㄎㄜˋ,homework / assignment / task / classwork / lesson / study,門
請假,ㄑㄧㄥˇ ㄐㄧㄚˋ,to request leave of absence,
教室,ㄐㄧㄠˋ ㄕˋ,classroom,間
洗手間,ㄒㄧˇ ㄕㄡˇ ㄐㄧㄢ,toilet / lavatory / washroom,
