詞彙,注音,英譯,量詞
哎呀,ㄞ ㄧㄚ,"interjection of wonder, shock or admiration",
哎喲,ㄞ ㄧㄠ,hey / ow / ouch / interjection of pain or surprise,
愛好,ㄞˋ ㄏㄠˋ,to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for,個
愛好,ㄞˋ ㄏㄠˋ,to like / to take pleasure in / keen on / fond of / interest / hobby / appetite for,個
愛護,ㄞˋ ㄏㄨˋ,to cherish / to treasure / to take care of / to love and protect,
愛人,ㄞˋ ㄖㄣˊ,spouse (PRC) / lover (non-PRC),個
安慰,ㄢ ㄨㄟˋ,to comfort / to console,個
安裝,ㄢ ㄓㄨㄤ,to install / to erect / to fix / to mount / installation,
按,ㄢˋ,to press / to push / to leave aside or shelve / to control / to restrain / to keep one's hand on / to check or refer to / according to / in the light of / (of an editor or author) to make a comment,
按時,ㄢˋ ㄕˊ,on time / before deadline / on schedule,
暗,ㄢˋ,dark / gloomy / hidden / secret / muddled / obscure / in the dark,
暗中,ㄢˋ ㄓㄨㄥ,in the dark / in secret / on the sly / surreptitiously,
骯髒,ㄤ ㄗㄤ,dirty / filthy,
熬,ㄠˊ,to cook on a slow fire / to extract by heating / to decoct / to endure,
拔,ㄅㄚˊ,to pull up / to pull out / to draw out by suction / to select / to pick / to stand out (above level) / to surpass / to seize,
把,ㄅㄚˇ,handle,
把握,ㄅㄚˇ ㄨㄛˋ,to grasp (also fig.) / to seize / to hold / assurance / certainty / sure (of the outcome),
罷工,ㄅㄚˋ ㄍㄨㄥ,a strike / to go on strike,
罷了,ㄅㄚˋ ㄌㄜ˙,"a modal particle indicating (don't mind it, ok)",
罷了,ㄅㄚˋ ㄌㄧㄠˇ,"a modal particle indicating (don't mind it, ok)",
擺脫,ㄅㄞˇ ㄊㄨㄛ,to break away from / to cast off (old ideas etc) / to get rid of / to break away (from) / to break out (of) / to free oneself from / to extricate oneself,
敗,ㄅㄞˋ,to defeat / to damage / to lose (to an opponent) / to fail / to wither,
拜,ㄅㄞˋ,to pay respect / worship / visit / salute,
拜拜,ㄅㄞˋ ㄅㄞ˙,"to pay one's respects by bowing with hands in front of one's chest clasping joss sticks, or with palms pressed together / (Tw) religious ceremony in which offerings are made to a deity",
拜訪,ㄅㄞˋ ㄈㄤˇ,to pay a visit / to call on,
拜年,ㄅㄞˋ ㄋㄧㄢˊ,to pay a New Year call / to wish sb a Happy New Year,
拜託,ㄅㄞˋ ㄊㄨㄛ,to request sb to do sth / please!,
般,ㄅㄢ,see 般樂乐[pan2 le4],
班,ㄅㄢ,team / class / squad / work shift / ranking / classifier for groups,個
班長,ㄅㄢ ㄓㄤˇ,class monitor / squad leader / team leader,個
搬運,ㄅㄢ ㄩㄣˋ,freight / transport / portage / to transport / to carry,
拌,ㄅㄢˋ,to mix / to mix in / to toss (a salad),
半路,ㄅㄢˋ ㄌㄨˋ,halfway / midway / on the way,
半數,ㄅㄢˋ ㄕㄨˋ,half the number / half,
辦公,ㄅㄢˋ ㄍㄨㄥ,to handle official business / to work (esp. in an office),
辦事,ㄅㄢˋ ㄕˋ,to handle (affairs) / to work,
扮演,ㄅㄢˋ ㄧㄢˇ,to play the role of / to act,
傍晚,ㄅㄤ ㄨㄢˇ,in the evening / when night falls / towards evening / at night fall / at dusk,
磅,ㄅㄤˋ,"see 磅秤 scale / platform balance / (loanword) pound (unit of weight, about 454 grams)",
棒,ㄅㄤˋ,stick / club / cudgel / smart / capable / strong / wonderful / classifier for legs of a relay race,
棒子,ㄅㄤˋ ㄗ˙,stick / club / cudgel / maize (corn) / ear of maize / corncob / (derog.) Korean,
包裹,ㄅㄠ ㄍㄨㄛˇ,to wrap up / to bind up / bundle / parcel / package,個
包括,ㄅㄠ ㄍㄨㄚ,to comprise / to include / to involve / to incorporate / to consist of,
包裝,ㄅㄠ ㄓㄨㄤ,to pack / to package / to wrap / packaging,
包裝,ㄅㄠ ㄓㄨㄤ,to pack / to package / to wrap / packaging,
保,ㄅㄠˇ,to defend / to protect / to keep / to guarantee / to ensure / civil administration unit in the baojia 保甲[bao3 jia3] system (old),
保持,ㄅㄠˇ ㄔˊ,to keep / to maintain / to hold / to preserve,
保存,ㄅㄠˇ ㄘㄨㄣˊ,to conserve / to preserve / to keep / to save (a file etc) (computing),
保留,ㄅㄠˇ ㄌㄧㄡˊ,to keep / to retain / to have reservations (about sth) / to hold back (from saying sth) / to put aside for later,
保衛,ㄅㄠˇ ㄨㄟˋ,to defend / to safeguard,
保障,ㄅㄠˇ ㄓㄤˋ,to ensure / to guarantee / to safeguard,
保障,ㄅㄠˇ ㄓㄤˋ,to ensure / to guarantee / to safeguard,
寶寶,ㄅㄠˇ ㄅㄠ˙,darling / baby,
抱,ㄅㄠˋ,to hold / to carry (in one's arms) / to hug / to embrace / to surround / to cherish,
報,ㄅㄠˋ,to announce / to inform / report / newspaper / recompense / revenge,份 / 張
報仇,ㄅㄠˋ ㄔㄡˊ,to take revenge / to avenge,
報答,ㄅㄠˋ ㄉㄚˊ,to repay / to requite,
報導,ㄅㄠˋ ㄉㄠˇ,to report (in the media) / (news) report,
報到,ㄅㄠˋ ㄉㄠˋ,to report for duty / to check in / to register,
報警,ㄅㄠˋ ㄐㄧㄥˇ,to sound an alarm / to report sth to the police,
報社,ㄅㄠˋ ㄕㄜˋ,newspaper (i.e. a company),家
暴力,ㄅㄠˋ ㄌㄧˋ,violence / force / violent,
暴躁,ㄅㄠˋ ㄗㄠˋ,irascible / irritable / violent,
爆炸,ㄅㄠˋ ㄓㄚˋ,explosion / to explode / to blow up / to detonate,
悲劇,ㄅㄟ ㄐㄩˋ,tragedy,齣
悲痛,ㄅㄟ ㄊㄨㄥˋ,grieved / sorrowful,
倍,ㄅㄟˋ,"(two, three etc) -fold / times (multiplier) / double / to increase or multiply",
備,ㄅㄟˋ,to prepare / get ready / to provide or equip,
背面,ㄅㄟˋ ㄇㄧㄢˋ,the back / the reverse side / the wrong side,
奔,ㄅㄣ,to go to / to head for / towards,
奔跑,ㄅㄣ ㄆㄠˇ,to run,
本來,ㄅㄣˇ ㄌㄞˊ,original / originally / at first / it goes without saying / of course,
本領,ㄅㄣˇ ㄌㄧㄥˇ,skill / ability / capability,項 / 個
本身,ㄅㄣˇ ㄕㄣ,itself / in itself / per se,
本土,ㄅㄣˇ ㄊㄨˇ,one's native country / native / local / metropolitan territory,
笨重,ㄅㄣˋ ㄓㄨㄥˋ,heavy / cumbersome / unwieldy,
比,ㄅㄧˇ,to associate with / to be near,
比方,ㄅㄧˇ ㄈㄤ,analogy / instance / for instance,
比方,ㄅㄧˇ ㄈㄤ,analogy / instance / for instance,
比方說,ㄅㄧˇ ㄈㄤ ㄕㄨㄛ,for example / for instance,
比較,ㄅㄧˇ ㄐㄧㄠˋ,to compare / to contrast / comparatively / relatively / quite / comparison,
比較,ㄅㄧˇ ㄐㄧㄠˋ,to compare / to contrast / comparatively / relatively / quite / comparison,
比例,ㄅㄧˇ ㄌㄧˋ,proportion / scale,
彼此,ㄅㄧˇ ㄘˇ,each other / one another,
筆記,ㄅㄧˇ ㄐㄧˋ,to take down (in writing) / notes / a type of literature consisting mainly of short sketches,本
筆試,ㄅㄧˇ ㄕˋ,written examination / paper test (for an applicant),
筆試,ㄅㄧˇ ㄕˋ,written examination / paper test (for an applicant),
閉,ㄅㄧˋ,to close / to stop up / to shut / to obstruct,
必須,ㄅㄧˋ ㄒㄩ,to have to / must / compulsory / necessarily,
必要,ㄅㄧˋ ㄧㄠˋ,necessary / essential / indispensable / required,
編,ㄅㄧㄢ,to weave / to plait / to organize / to group / to arrange / to edit / to compile / to write / to compose / to fabricate,
扁,ㄅㄧㄢˇ,small boat,
便,ㄅㄧㄢˋ,see 便宜宜[pian2 yi5],
便利,ㄅㄧㄢˋ ㄌㄧˋ,convenient / easy / to facilitate,
變動,ㄅㄧㄢˋ ㄉㄨㄥˋ,to change / to fluctuate / change / fluctuation,
變動,ㄅㄧㄢˋ ㄉㄨㄥˋ,to change / to fluctuate / change / fluctuation,
標題,ㄅㄧㄠ ㄊㄧˊ,title / heading / headline / caption / subject,
標誌,ㄅㄧㄠ ㄓˋ,sign / mark / symbol / logo / to symbolize / to indicate / to mark,
表格,ㄅㄧㄠˇ ㄍㄜˊ,form / table,張 / 份
表情,ㄅㄧㄠˇ ㄑㄧㄥˊ,(facial) expression / to express one's feelings / expression,
表揚,ㄅㄧㄠˇ ㄧㄤˊ,to praise / to commend,
冰,ㄅㄧㄥ,ice / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine,塊
丙,ㄅㄧㄥˇ,"third of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / third in order / letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 165° / propyl",
並,ㄅㄧㄥˋ,and / furthermore / also / together with / (not) at all / simultaneously / to combine / to join / to merge,
並,ㄅㄧㄥˋ,and / furthermore / also / together with / (not) at all / simultaneously / to combine / to join / to merge,
並且,ㄅㄧㄥˋ ㄑㄧㄝˇ,and / besides / moreover / furthermore / in addition,
病毒,ㄅㄧㄥˋ ㄉㄨˊ,virus,
病房,ㄅㄧㄥˋ ㄈㄤˊ,ward (of a hospital) / sickroom,間
撥,ㄅㄛ,"to push aside with the hand, foot, a stick etc / to dial / to allocate / to set aside (money) / to poke (the fire) / to pluck (a string instrument) / to turn round / classifier: group, batch",
菠菜,ㄅㄛ ㄘㄞˋ,spinach,棵
