詞彙,注音,英譯,量詞
挨,ㄞ,to suffer / to endure / to pull through (hard times) / to delay / to stall / to play for time / to dawdle,
欸,ㄞˇ,sigh / exclamation Eh!,
愛戴,ㄞˋ ㄉㄞˋ,to love and respect / love and respect,
愛國,ㄞˋ ㄍㄨㄛˊ,to love one's country / patriotic,
愛滋病,ㄞˋ ㄗ ㄅㄧㄥˋ,variant of 艾滋病[ai4 zi1 bing4],
安頓,ㄢ ㄉㄨㄣˋ,to find a place for / to help settle down / to arrange for / undisturbed / peaceful,
安撫,ㄢ ㄈㄨˇ,to placate / to pacify / to appease,
安寧,ㄢ ㄋㄧㄥˊ,peaceful / tranquil / calm / composed / free from worry,
安詳,ㄢ ㄒㄧㄤˊ,serene,
安置,ㄢ ㄓˋ,to find a place for / to help settle down / to arrange for / to get into bed / placement,
暗暗,ㄢˋ ㄢˋ,secretly / inwardly,
案件,ㄢˋ ㄐㄧㄢˋ,case / instance,宗 / 樁 / 起
案情,ㄢˋ ㄑㄧㄥˊ,details of a case / case,
案子,ㄢˋ ㄗ˙,long table / counter / case / law case / legal case / judicial case,
按摩,ㄢˋ ㄇㄛˊ,massage / to massage,
昂貴,ㄤˊ ㄍㄨㄟˋ,expensive / costly,
奧妙,ㄠˋ ㄇㄧㄠˋ,marvelous / mysterious / profound / marvel / wonder,
懊惱,ㄠˋ ㄋㄠˇ,annoyed / vexed / upset,
八卦,ㄅㄚ ㄍㄨㄚˋ,the eight divinatory trigrams of the Book of Changes 易經经[Yi4 jing1] / gossip / gossipy,
八字,ㄅㄚ ㄗˋ,the character 8 or 八 / birthdate characters used in fortune-telling,
把,ㄅㄚˇ,handle,
把持,ㄅㄚˇ ㄔˊ,to control / to dominate / to monopolize,
把手,ㄅㄚˇ ㄕㄡˇ,handle / grip / knob,
白皮書,ㄅㄞˊ ㄆㄧˊ ㄕㄨ,white paper (e.g. containing proposals for new legislation) / white book,
拜會,ㄅㄞˋ ㄏㄨㄟˋ,pay an official call / call on / visit in an official capacity,
頒發,ㄅㄢ ㄈㄚ,to issue / to promulgate / to award,
頒獎,ㄅㄢ ㄐㄧㄤˇ,to confer an award,
辦案,ㄅㄢˋ ㄢˋ,to handle a case,
半島,ㄅㄢˋ ㄉㄠˇ,peninsula,
半導體,ㄅㄢˋ ㄉㄠˇ ㄊㄧˇ,semiconductor,
