詞彙,注音,英譯,量詞
男,ㄋㄢˊ,"male / Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]",個
女,ㄋㄩˇ,archaic variant of 汝[ru3],
孩子,ㄏㄞˊ ㄗ˙,child,
小姐,ㄒㄧㄠˇ ㄐㄧㄝˇ,young lady / miss / (slang) prostitute,個 / 位
先生,ㄒㄧㄢ ㄕㄥ,teacher / husband / doctor (dialect),位
太太,ㄊㄞˋ ㄊㄞ˙,married woman / Mrs. / Madam / wife,個 / 位
女兒,ㄋㄩˇ ㄦˊ,daughter,
兒子,ㄦˊ ㄗ˙,son,
大家,ㄉㄚˋ ㄐㄧㄚ,everyone / influential family / great expert,
路,ㄌㄨˋ,road / journey / route / line (bus etc) / sort / kind,條
手機,ㄕㄡˇ ㄐㄧ,cell phone / mobile phone,部 / 支
號碼,ㄏㄠˋ ㄇㄚˇ,number,堆 / 個
明年,ㄇㄧㄥˊ ㄋㄧㄢˊ,next year,
去年,ㄑㄩˋ ㄋㄧㄢˊ,last year,
生日,ㄕㄥ ㄖˋ,birthday,個
月,ㄩㄝˋ,moon / month / monthly,個 / 輪
日,ㄖˋ,"sun / day / date, day of the month",
星期,ㄒㄧㄥ ㄑㄧˊ,week / day of the week / Sunday,個
星期天,ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ,Sunday,個
星期日,ㄒㄧㄥ ㄑㄧˊ ㄖˋ,Sunday,個
週末,ㄓㄡ ㄇㄛˋ,weekend,
號,ㄏㄠˋ,ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people,
天,ㄊㄧㄢ,day / sky / heaven,
天,ㄊㄧㄢ,day / sky / heaven,
從,ㄘㄨㄥˊ,from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / auxiliary / subordinate / related by common paternal grandfather or earlier ancestor,
在,ㄗㄞˋ,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),
在,ㄗㄞˋ,(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress),
笑,ㄒㄧㄠˋ,laugh / smile,個
愛,ㄞˋ,to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen),
好看,ㄏㄠˇ ㄎㄢˋ,"good-looking / nice-looking / good (of a movie, book, TV show etc) / embarrassed / humiliated",
快樂,ㄎㄨㄞˋ ㄌㄜˋ,happy / merry,
太,ㄊㄞˋ,highest / greatest / too (much) / very / extremely,
非常,ㄈㄟ ㄔㄤˊ,very / very much / unusual / extraordinary,
工作,ㄍㄨㄥ ㄗㄨㄛˋ,to work / (of a machine) to operate / job / work / task,個 / 份 / 項
醫生,ㄧ ㄕㄥ,doctor,個 / 位 / 名
醫院,ㄧ ㄩㄢˋ,hospital,所 / 家 / 座
公司,ㄍㄨㄥ ㄙ,(business) company / company / firm / corporation / incorporated,家
賣,ㄇㄞˋ,to sell / to betray / to spare no effort / to show off or flaunt,
準備,ㄓㄨㄣˇ ㄅㄟˋ,preparation / to prepare / to intend / to be about to / reserve (fund),
一點,ㄧ ㄉㄧㄢˇ,a bit / a little / one dot / one point,
一點兒,ㄧ ㄉㄧㄢˇ ㄦ,erhua variant of 一點点[yi1 dian3],
一些,ㄧ ㄒㄧㄝ,some / a few / a little / (following an adjective) slightly ...er,
本,ㄅㄣˇ,"root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc",
張,ㄓㄤ,"to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes",
中學,ㄓㄨㄥ ㄒㄩㄝˊ,middle school,個
年級,ㄋㄧㄢˊ ㄐㄧˊ,"grade / year (in school, college etc)",個
英文,ㄧㄥ ㄨㄣˊ,English (language),
紙,ㄓˇ,"paper / classifier for documents, letter etc",張 / 沓
問題,ㄨㄣˋ ㄊㄧˊ,question / problem / issue / topic,個
意思,ㄧˋ ㄙ˙,"idea / opinion / meaning / wish / desire / interest / fun / token of appreciation, affection etc / to give as a small token / to do sth as a gesture of goodwill etc",個
圖書館,ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ,library,家 / 個
數學,ㄕㄨˋ ㄒㄩㄝˊ,mathematics / mathematical,
歷史,ㄌㄧˋ ㄕˇ,history,門 / 段
餐廳,ㄘㄢ ㄊㄧㄥ,dining hall / dining room / restaurant,間 / 家
飯館,ㄈㄢˋ ㄍㄨㄢˇ,restaurant,家
學習,ㄒㄩㄝˊ ㄒㄧˊ,to learn / to study,
參加,ㄘㄢ ㄐㄧㄚ,to participate / to take part / to join,
畫,ㄏㄨㄚˋ,to draw / picture / painting / classifier for paintings etc / variant of 劃[hua4],幅 / 張
讀,ㄉㄨˊ,"to read / to study / reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",
會,ㄏㄨㄟˋ,to balance an account / accountancy / accounting,
有趣,ㄧㄡˇ ㄑㄩˋ,interesting / fascinating / amusing,
為什麼,ㄨㄟˋ ㄕㄣˊ ㄇㄜ˙,why? / for what reason?,
下課,ㄒㄧㄚˋ ㄎㄜˋ,to finish class / to get out of class,
說話,ㄕㄨㄛ ㄏㄨㄚˋ,to speak / to say / to talk / to gossip / to tell stories / talk / word,
考試,ㄎㄠˇ ㄕˋ,to take an exam / exam,次
考試,ㄎㄠˇ ㄕˋ,to take an exam / exam,次
懂,ㄉㄨㄥˇ,to understand / to comprehend,
天氣,ㄊㄧㄢ ㄑㄧˋ,weather,
房子,ㄈㄤˊ ㄗ˙,house / building (single- or two-story) / apartment / room,棟 / 幢 / 座 / 套 / 間
門,ㄇㄣˊ,"gate / door / gateway / doorway / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)",扇 / 個
山,ㄕㄢ,mountain / hill / anything that resembles a mountain / bundled straw in which silkworms spin cocoons / gable,座
客廳,ㄎㄜˋ ㄊㄧㄥ,drawing room (room for arriving guests) / living room,間
河,ㄏㄜˊ,river,條 / 道
狗,ㄍㄡˇ,dog,隻 / 條
花,ㄏㄨㄚ,"flower / blossom / fancy pattern / florid / to spend (money, time) / (coll.) lecherous / lustful",朵 / 支 / 束 / 把 / 盆 / 簇
風,ㄈㄥ,wind / news / style / custom / manner,陣 / 絲
海,ㄏㄞˇ,ocean / sea / great number of people or things / (dialect) numerous,個 / 片
魚,ㄩˊ,fish,條 / 尾
樹,ㄕㄨˋ,tree / to cultivate / to set up,棵
開,ㄎㄞ,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文尔文[Kai1 er3 wen2] / abbr. for 開本本[kai1 ben3], book format",
冷,ㄌㄥˇ,cold,
熱,ㄖㄜˋ,to warm up / to heat up / hot (of weather) / heat / fervent,
洗澡,ㄒㄧˇ ㄗㄠˇ,to bathe / to take a shower,
咖啡,ㄎㄚ ㄈㄟ,coffee (loanword),杯
茶,ㄔㄚˊ,tea / tea plant,杯 / 壺
生活,ㄕㄥ ㄏㄨㄛˊ,life / activity / to live / livelihood,
用,ㄩㄥˋ,to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore,
洗,ㄒㄧˇ,to wash / to bathe / to develop (photo),
穿,ㄔㄨㄢ,to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread,
起床,ㄑㄧˇ ㄔㄨㄤˊ,to get out of bed / to get up,
方便,ㄈㄤ ㄅㄧㄢˋ,convenient / suitable / to facilitate / to make things easy / having money to spare / (euphemism) to relieve oneself,
睡覺,ㄕㄨㄟˋ ㄐㄧㄠˋ,to go to bed / to sleep,
先,ㄒㄧㄢ,early / prior / former / in advance / first,
常常,ㄔㄤˊ ㄔㄤˊ,frequently / often,
每,ㄇㄟˇ,each / every,
次,ㄘˋ,"next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time",
音樂,ㄧㄣ ㄩㄝˋ,music,張 / 曲 / 段
